Speaker 1,Speaker 2,Text
Uncle Vernon,Mr. Mason,Not to worry. I'll sort it out.
Harry,Dobby,Stop! Stop! 
Uncle Vernon,Harry,"What the devil are you doing up 
 here! You've just ruined the 
 punch line of my Japanese golfer 
 joke. One more sound and you'll 
 wish you'd never been born, boy!"
Harry,Dobby,"See why I've got to go back? I 
 don't belong here. I belong in 
 your world -- at Hogwarts. It's 
 the only place I've got... 
 friends."
Dobby,Harry,"Friends who don't even write to 
 Harry Potter?"
Harry,Dobby,"Well, I expect they've been -- 
 hang on, how do you know my 
 friends haven't been writing me? "
Dobby,Harry,"Harry Potter mustn't be angry with 
 Dobby -- Dobby hoped if Harry 
 Potter thought his friends had 
 forgotten him... Harry Potter 
 might not want to go back to 
 school, sir..."
Harry,Dobby,Give me those. Now. 
Harry,Dobby,Dobby... Please... No...
Dobby,Harry,"Harry Potter must say he's not 
 going back to school."
Harry,Dobby,I can't. Hogwarts is my home.
Dobby,Harry,"Then Dobby must do it, sir. For 
 Harry Potter's own good. 
"
Uncle Vernon,Mr. Mason,"I'm sorry. It's our nephew. Very 
 disturbed. Meeting strangers 
 upsets him, so we kept him 
 upstairs..."
Aunt Petunia,Mr. Mason,"We have ice cream... 
"
Uncle Vernon,Harry,Go on. Read it.
Harry,Uncle Vernon,"Dear Mr. Potter. We have 
 received intelligence that a Hover 
 Charm was used at your place of 
 residence at twelve minutes past 
 seven this evening. As you know, 
 underage wizards...'"
Uncle Vernon,Harry,"... are not permitted to perform
 spells outside school.'

 You didn't tell us you weren't 
 Allowed to use magic at home. 
 Slipped your mind, didn't it?"
Uncle Vernon,Harry,"Well, I've got news for you, boy. 
 I'm locking you up! And if you 
 try to magic yourself out, they'll 
 expel you! You're never going 
 back to that school! Never!"
Dudley,Harry,I know what day it is.
Harry,Dudley,"Well done, Dudley. Finally 
 learned the days of the week, have 
 you"
Dudley,Harry,"Today's your birthday. And nobody 
 cares. 
"
Harry,Hedwig,"It's no good turning your beak up. 
 It's all we've got. 
"
Harry,Ron,Ron?
Ron,Harry,"Hiya, Harry."
Harry,Ron,"Fred? George? What're you doing 
 here?"
Ron,Harry,"Rescuing you, of course. Where's 
 your trunk?"
Ron,Harry,Stand back. 
Harry,Hedwig,Hedwig! 
Uncle Vernon,Aunt Petunia,Petunia! He's getting away! 
Ron,Harry,"Hold on, Harry!"
Uncle Vernon,Harry,"Oh no, boy! You and that bloody 
 pigeon aren't going anywhere! "
Ron,Fred,"Put your foot down, Fred."
Ron,Harry,"By the way, Harry. Happy 
 Birthday."
Fred,Ron,"Hurry! Let's nip inside before 
 Mum wakes up!"
Ron,Harry,It's not much.
Harry,Ron,I think it's... brilliant! 
Mrs. Weasley,Ron,WHERE... HAVE... YOU... BEEN?!
Mrs. Weasley,Harry,"Harry! How wonderful to see you. 
"
Mrs. Weasley,Ron,Beds empty! No note! You could've died! You could've been seen!
Mrs. Weasley,Fred,Beds empty! No note! You could've died! You could've been seen!
Mrs. Weasley,George,Beds empty! No note! You could've died! You could've been seen!
Mrs. Weasley,Harry,"I don't blame you, of course, dear."
Ron,Mrs. Weasley,"They were starving him, Mum! 
 There were bars on his window!"
Mrs. Weasley,Ron,"You best hope I don't put bars on 
 your window, Ronald Weasley! "
Mrs. Weasley,Harry,"Care for a spot of tea, Harry?"
Ginny,Mrs. Weasley,Mummy. Have you seen my jumper -- 
Ron,Harry,"Ginny. Been talking about you all 
 summer. Dead annoying, really."
George,Mrs. Weasley,Dad's home! 
Mr. Weasley,Mrs. Weasley,What a night! Nine raids! Nine!
Harry,Ron,Raids?
Ron,Harry,"Dad works at the Ministry of 
 Magic. In the Misuse of Muggle 
 Artefacts Office"
Harry,Ron,The Misuse of Muggle Artefacts...?
Ron,Harry,"That's when wizards bewitch 
 something to drive Muggles mad. 
 Shrinking door keys, that kind of 
 thing. Dad loves Muggles. Thinks 
 they're fascinating. "
Mr. Weasley,Harry,Well now. Who are you?
Ron,Mr. Weasley,"Harry, sir. Harry Potter."
Mr. Weasley,Harry,"Good Lord, are you really? Ron's 
 told us all about you, of course. 
 When did you get here?"
Mrs. Weasley,Mr. Weasley," This morning. Your sons flew that 
 enchanted car of yours to Surrey 
 house and back last night."
Mr. Weasley,Ron,"Did you now! How'd it go?!  I... I mean... That was very wrong, boys. Very wrong indeed."
Mr. Weasley,Fred,"Did you now! How'd it go?!  I... I mean... That was very wrong, boys. Very wrong indeed."
Mr. Weasley,George,"Did you now! How'd it go?!  I... I mean... That was very wrong, boys. Very wrong indeed."
Mr. Weasley,Harry,"So, Harry. You must know all about Muggles. Tell me, what exactly is the function of a parking meter?"
Mrs. Weasley,George,"That must be Errol with the post. 
 Fetch him, will you, George? "
George,Mrs. Weasley,"It's our Hogwarts letters! And 
 look. They've sent Harry's as well."
Mrs. Weasley,Harry,"Dumbledore must know you're here, 
 Harry. Doesn't miss a trick, that 
 man."
Fred,Mrs. Weasley,"This lot won't come cheap, Mum. 
 The spellbooks alone..."
Mrs. Weasley,Fred,"We'll manage. Right then. 
 There's only one place to get all 
 of this."
Mrs. Weasley,Harry,"You first, Harry dear. "
Ron,Mrs. Weasley,"Harry's never traveled by Floo 
 Powder before, Mum. "
Harry,Ron,Floo Powder? 
Mrs. Weasley,Percy,"Percy. Would you mind going
 first, so Harry can see how it's
 done?"
Percy,Mrs. Weasley,"Certainly, Mother. "
Percy,Harry,"Don't worry, Harry. It's simple enough."
Percy,Harry,Diagon Alley. 
Mrs. Weasley,Harry,"Remember to speak clearly, dear!"
Ron,Harry,And mind you get out at the right grate!
Harry,Ron, D-Dia-gon Alley!
Harry,Mrs. Weasley, D-Dia-gon Alley!
Mr. Borgin,Lucius Malfoy,"Mr. Malfoy! What a pleasure to 
 see you again. If I may, just in 
 today --"
Lucius Malfoy,Mr. Borgin,"I'm not buying today, Mr. Borgin. 
 But selling."
Mr. Borgin,Lucius Malfoy,Selling?
Lucius Malfoy,Mr. Borgin,"You have heard, of course, that 
 the Ministry of Magic is 
 conducting more raids. There are 
 even rumors of a new Muggle 
 Protection Act... "
Lucius Malfoy,Mr. Borgin,"I have a few... ah... items at 
 home that might prove embarrassing 
 if the Ministry were to call. 
 Certain poisons and the like..."
Mr. Borgin,Lucius Malfoy,Hmmm... yes. I see... 
Draco,Mr. Borgin,Can I have this?
Mr. Borgin,Lucius Malfoy,"Ah, the Hand of Glory. Insert a 
 candle and it gives light only to 
 the holder. Best friend of 
 thieves and plunderers. Your son 
 has fine taste, sir."
Lucius Malfoy,Mr. Borgin,"Hopefully my son will amount to
 more than a thief, Mr. Borgin.
 Though if his marks don't pick
 up --"
Draco,Lucius Malfoy,"It's not my fault the teachers 
 have favorites. That Hermione 
 Granger --"
Lucius Malfoy,Draco,"I would have thought you'd be 
 ashamed that a girl of no 
 wizarding family beat you in every 
 exam."
Mr. Borgin,Lucius Malfoy,"It's the same all over. Wizard 
 blood is counting for less 
 everywhere."
Lucius Malfoy,Mr. Borgin,Not with me. 
Lucius Malfoy,Mr. Borgin,"Very good. I'll expect you at the 
 manor tomorrow. "
Lucius Malfoy,Draco,"Come, Draco."
Aged Witch,Harry,"Not lost are you, my dear?"
Harry,Aged Witch,"I'm fine, thanks. I'm just --"
Hagrid,Harry,"HARRY! What d'yer think yer doin' 
 down 'ere?"
Harry,Hagrid,Hagrid! 
Hagrid,Harry,"Yer a mess! Skulkin' 'round Knockturn Alley. Dodgy place, Harry. Don't want no one ter see yeh down there. People'll be thinkin' yer up ter no good."
Harry,Hagrid,"I was lost, I -- Hang on. What 
 were you doing down there?"
Hagrid,Harry,"I was lookin' fer a Flesh Eatin' 
 Slug Repellent. They're ruinin' 
 the school cabbages."
Hermione,Harry,Harry! 
Hermione,Hagrid,"Hello, Hagrid.  Oh, it's wonderful
 to see you two again."
Hermione,Harry,"Oh, it's wonderful to see you two again."
Hermione,Harry,Oculus Reparo.
Harry,Hermione,I need to remember that one.
Hermione,Harry,C'mon. Everyone's been so worried. 
Mr. Weasley,Mr. Granger,"So you're dentists! Fascinating! 
 I understand other Muggles quite 
 fear you? Why is that?"
Mr. Weasley,Mrs. Granger,"So you're dentists! Fascinating! 
 I understand other Muggles quite 
 fear you? Why is that?"
Mrs. Weasley,Harry,"Oh, Harry. Thank goodness. We 
 hoped you'd only gone one grate 
 too far. Come now. We're off to 
 Flourish and Blotts."
Hermione,Harry,"Isn't it thrilling! Gilderoy 
 Lockhart's going to be there! We 
 can actually meet him! I mean, 
 he's written almost the whole 
 booklist!"
Harry,Hermione,Who?
Mrs. Weasley,Harry,There he is!
Ron,Harry,Mum fancies him.
Short Man,Harry,"Out of the way! This is for The 
 Daily Prophet!"
Gilderoy Lockhart,Harry,It can't be Harry Potter? 
Gilderoy Lockhart,Harry," Nice big smile, Harry. Together, 
 you and I rate the front page. 

 Ladies and gentlemen! What an 
 extraordinary moment this is! 
 When young Harry here stepped into 
 Flourish and Blotts this morning 
 to purchase my autobiography, 
 Magical Me -- which, incidentally 
 is celebrating its twenty-seventh 
 week atop The Daily Prophet's 
 Bestseller List -- he had no idea"
Harry,Gilderoy Lockhart,"Thank you. Slipping free, Harry drifts back into the crowd and, red with embarrassment, drops the books into Ginny's cauldron. HA"
Harry,Ginny,"You have these. I'll buy my 
 own --"
Draco,Harry,"Bet you loved that, didn't you, 
 Potter? Famous Harry Potter. 
 Can't even go into a bookshop 
 without making the front page."
Ginny,Draco,"Leave him alone! He didn't want 
 all that!"
Draco,Harry,"Look, Potter. You've got yourself 
 a girlfriend!"
Lucius Malfoy,Draco,"Silence, Draco! "
Lucius Malfoy,Harry,Ah... Mr. Potter. I don't believe we've met.
Lucius Malfoy,Harry,"Forgive me, Mr. Potter. But your 
 scar is legend. As, of course, is 
 the wizard who gave it to you."
Harry,Lucius Malfoy,He was a murderer.
Lucius Malfoy,Harry,"Yes, a pity about your parents. 
 Curious that you yourself should 
 escape with a mere flesh wound. 
 Curious, too, that you speak of 
 him in the past. Surely, you 
 don't think He-Who-Must-Not-Be- 
 Named is gone forever"
Harry,Lucius Malfoy,"His name is Voldemort. 
 Those within earshot gasp as Harry utters the word."
Lucius Malfoy,Harry,"You must be very brave, Mr. 
 Potter, to dare speak his name. 
 Or foolish."
Hermione,Lucius Malfoy,"Fear of a name only increases fear 
 of the thing itself. "
Lucius Malfoy,Hermione,"You must be Miss Granger. Draco's 
 told me all about you... and your 
 parents. Muggles, aren't you? "
Mr. Weasley,Harry,Ron! Harry! It's mad in here. Let's go outside.
Mr. Weasley,Ron,Ron! Harry! It's mad in here. Let's go outside.
Lucius Malfoy,Mr. Weasley,"Well, well, well -- Arthur 
 Weasley."
Mr. Weasley,Lucius Malfoy,Lucius.
Lucius Malfoy,Mr. Weasley,"Busy time at the Ministry. All 
 those raids. I hope they're 
 paying you overtime. "
Lucius Malfoy,Mr. Weasley,"Obviously not. Dear me. What's 
 the use of being a disgrace to the 
 name of wizard if they don't even 
 pay you well for it."
Mr. Weasley,Lucius Malfoy,"We have a very different idea 
 about what disgraces the name of 
 wizard, Lucius."
Lucius Malfoy,Mr. Weasley," Clearly. The company you keep, 
 Weasley. And I thought your 
 family could sink no lower. "
Hagrid,Mr. Weasley,"Ignore 'im, Arthur. "
Lucius Malfoy,Ginny,"Here, girl. Take your book. It's 
 the best your father can give you."
Hagrid,Harry,"No Malfoy's worth listenin' ter. 
 Rotten ter the core, the whole 
 family..."
Mrs. Weasley,Harry,"Oh dear! The train'll be leaving 
 any moment! All together now! "
Mrs. Weasley,Ron,"Oh dear! The train'll be leaving 
 any moment! All together now! "
Mrs. Weasley,Hermione,"Oh dear! The train'll be leaving 
 any moment! All together now! "
Mrs. Weasley,Ginny,"Oh dear! The train'll be leaving 
 any moment! All together now! "
Mrs. Weasley,Ginny,"Go on, Ginny. You know what to 
 do. "
Mrs. Weasley,Ginny,"Come, Ginny. We'll get you a 
 seat."
Ron,Harry,We better hurry. 
Guard,Harry,"What in blazes d'you two think 
 you're doing?"
Guard,Ron,"What in blazes d'you two think 
 you're doing?"
Harry,Guard,"Sorry. Lost control of the 
 trolley. "
Harry,Ron, Why can't we get through?
Ron,Harry,"I dunno. The gateway's sealed 
 itself for some reason."
Harry,Ron,"The train leaves at exactly eleven 
 o'clock. We've missed it."
Ron,Harry,"Can't hear a thing. 
 Harry. If we can't get through, 
 maybe Mum and Dad can't get back."
Harry,Ron,"Maybe we should go wait by the 
 car."
Ron,Harry,The car!
Harry,Ron,"This is mad. We can't drive to 
 Hogwarts."
Ron,Harry,Who says we're driving?
Harry,Ron,"You don't mean -- Ron, no."
Ron,Harry,"Look, who knows when Mum and Dad 
 will get back. And we've got to 
 get to school, haven't we? And 
 even underage wizards are allowed 
 to use magic if it's an absolute 
 emergency. Least that's what Fred 
 and George always say..."
Harry,Harry,"Something tells me we're going to 
 regret this."
Harry,Ron,"No offense, Ron, but are you sure 
 you know how to fly this."
Ron,Harry,No problem. 
Ron,Harry,"There. See. Now I reckon all we 
 have to do is find the Hogwarts 
 Express and follow it. Simple. "
Harry,Ron,"Uh, Ron. I should tell you. Most 
 Muggles aren't accustomed to 
 seeing a flying car."
Ron,Harry,Right. 
Ron,Harry,"Uh oh. The Invisibility Booster 
 must be faulty. "
Ron,Harry,Any sign of the train?
Harry,Ron,There! Up ahead! Look...
Ron,Harry,Brilliant.
Ron,Harry,"It must be around here 
 someplace."
Harry,Ron,Do you hear that? 
Ron,Harry,Take my hand! 
Ron,Harry,Hold on!
Harry,Ron,I think we found the train.
Ron,Harry,"Welcome home, Harry."
Harry,Ron,"Just out of interest, Ron. Have 
 you ever landed a car before?"
Ron,Harry,"Well... no. but, until a few 
 hours ago, I'd never taken off in 
 one either."
Ron,Harry,Uh oh.
Ron,Harry,IT'S NOT WORKING!
Harry,Ron,UP! UP!
Harry,Ron,MIND THAT TREE!
Harry,Ron,TURN! TURN
Ron,Harry,STOP! STOP! STOP!
Ron,Harry,My wand! Look at my wand !
Harry,Ron,Be thankful it's not your neck.
Ron,Harry,What's happening? 
Ron,Harry,What kind of tree is this?
Harry,Ron,Reverse! Reverse! 
Ron,Harry,Dad's going to kill me.
Harry,Ron,"A house elf shows up in my 
 bedroom, we can't get through the 
 barrier to Platform Nine and Three 
 Quarters, we almost get killed by 
 a tree... clearly someone doesn't 
 want me here this year."
Filch,Harry,"Well, take a good look, lads..."
Filch,Ron,"Well, take a good look, lads..."
Filch,Harry,"This night might well be the last 
 you spend in this castle."
Filch,Ron,"This night might well be the last 
 you spend in this castle."
Snape,Ron,"You were seen! By no less then 
 seven Muggles. Do you have any 
 idea how serious this is? You 
 have risked the exposure of our 
 world. Not to mention the damage 
 you inflicted on a Whomping Willow 
 that has been on these grounds for 
 hundreds of years."
Snape,Harry,"You were seen! By no less then 
 seven Muggles. Do you have any 
 idea how serious this is? You 
 have risked the exposure of our 
 world. Not to mention the damage 
 you inflicted on a Whomping Willow 
 that has been on these grounds for 
 hundreds of years."
Ron,Snape,"Honestly, Professor Snape, I think 
 it did more damage to us."
Snape,Ron,"Silence! I assure you, were you 
 in Slytherin and your fate rested 
 with me, the both of you would be 
 on the train home tonight. As it 
 is --"
Snape,Harry,"Silence! I assure you, were you 
 in Slytherin and your fate rested 
 with me, the both of you would be 
 on the train home tonight. As it 
 is --"
Dumbledore,Snape,They are not.
Harry,Dumbledore,Professor Dumbledore.
Harry,Professor Mcgonagall,"Professor 
 McGonagall..."
Snape,Dumbledore,"Headmaster, these boys have 
 flouted the Decree for the 
 Restriction of Underage Wizardry. 
 As such..."
Dumbledore,Snape,"I'm well aware of our bylaws, 
 Severus, having written more than 
 a few myself. However, as Head of 
 Gryffindor House, it is for 
 Professor McGonagall to determine 
 the appropriate action."
Ron,Dumbledore,We'll go and get our stuff.
Professor Mcgonagall,Ron," What are you talking about, Mr. 
 Weasley?"
Ron,Professor Mcgonagall,"Well, you're going to expel us,
 aren't you?"
Professor Mcgonagall,Ron,"Not today, Mr. Weasley. But I 
 must impress upon both of you the 
 seriousness of what you have done. 
 I will be sending owls to both of 
 your families tonight. And you 
 will each get a detention."
Professor Mcgonagall,Harry,But I must impress upon both of you the seriousness of what you have done. I will be sending owls to both of your families tonight. And you will each get a detention.
Dumbledore,Professor Mcgonagall,"Splendid. Now, I suggest we 
 return to the feast. There's a 
 delicious-looking custard tart I 
 want to sample."
Dumbledore,Snape,"Splendid. Now, I suggest we 
 return to the feast. There's a 
 delicious-looking custard tart I 
 want to sample."
Dumbledore,Harry,"Splendid. Now, I suggest we 
 return to the feast. There's a 
 delicious-looking custard tart I 
 want to sample."
Dumbledore,Ron,"Splendid. Now, I suggest we 
 return to the feast. There's a 
 delicious-looking custard tart I 
 want to sample."
Harry,Filch,Mr. Filch. You dropped this...
Neville,Harry,Detention. On the first day?
Neville,Ron,Detention. On the first day?
Seamus,Neville,That must be some kind of record.
Hermione,Ron,I should think you'd count yourself lucky that's all you got.
Ron,Hermione,"I should think you'd mind your own 
 business."
Professor Sprout,Hermione,"Welcome to Greenhouse Three, 
 Second Years. Today, we will be 
 re-potting Mandrakes. Now, who 
 here can tell me the properties of 
 the Mandrake? Yes, Miss Granger."
Hermione,Professor Sprout,"Mandrake, or Mandragora, is used 
 to return those who have been 
 transfigured to their original 
 state. It's also quite dangerous. 
 The Mandrake's cry is fatal to 
 anyone who hears it."
Professor Sprout,Hermione,"Excellent. Ten points to 
 Gryffindor. As our Mandrakes are 
 only seedlings, their cries won't 
 kill yet. However, they will 
 knock you out for several hours. 
 That is why I have provided each 
 of you with a pair of earmuffs"
Professor Sprout,Neville,"Hm. Looks as though Mr. 
 Longbottom neglected his muffs."
Seamus,Professor Sprout,"No, ma'am. He's just fainted."
Professor Sprout,Seamus,"Very well. We'll just leave him 
 then. Come now. Four to a tray, 
 plenty of pots to go round..."
Penelope Clearwater,Percy,There's Nearly Headless Nick.
Percy,Nearly Headless Nick,"Hello, Sir Nicolas."
Nearly Headless Nick,Percy,"Hello, Percy. Miss Clearwater."
Nearly Headless Nick,Penelope Clearwater,Miss Clearwater.
Ron,Harry,Say it. I'm doomed
Harry,Ron,You're doomed. 
Colin,Harry,"Hiya, Harry. I'm Colin Creevey. 
 I'm in Gryffindor too."
Harry,Colin,"Hello, Colin. Nice to meet --"
Colin,Harry,"They're for my dad -- the 
 pictures. He's a milkman, you 
 know, a Muggle, like all our 
 family's been until me. No one 
 knew all the odd stuff I could do 
 was magic till we got my letter 
 from Hogwarts. Everyone just 
 thought I was mental."
Ron,Colin,Imagine that.
Colin,Harry,"Say, Harry. D'you think your 
 friend could take a photo of me 
 and you standing together? Ya' 
 know, to prove I've met you?"
Dean,Ron,Post is here! 
Ron,Seamus,"Bloody bird's a menace -- Oh... 
 no"
Seamus,Ron,"Heads up, everyone. Weasley's 
 gotten himself a Howler."
Neville,Ron,"Go on, Ron. I ignored one from
my Gran once... and it was
horrible."
Mrs. Weasley,Ron,"RONALD WEASLEY! HOW DARE YOU
STEAL THAT CAR! I AM
ABSOLUTELY DISGUSTED! YOUR
FATHER'S NOW FACING AN INQUIRY
AT WORK AND IT'S ENTIRELY YOUR
FAULT! IF YOU PUT ANOTHER TOE OUT
OF LINE WE'LL BRING YOU STRAIGHT
HOME! "
Mrs. Weasley,Ginny,"Oh, and Ginny dear. Congratulations on making Gryffindor. Your father and I are so proud."
Harry,Ron,"Look at it this way. How much
worse can things get?"
Gilderoy Lockhart,Students,"Let me introduce you to your new
Defense Against the Dark Arts
Teacher. Me. Gilderoy Lockhart,
Order of Merlin, Third Class,
Honorary Member of the Dark Force
Defense League and five times
winner of Witch Weekly's Most-
Charming-Smile Award -- But I
don't talk about that. I didn't
get rid of the Bandon Banshee by
smiling at her!"
Gilderoy Lockhart,Students,"I see you've all bought a complete
set of my books. Well done. I
thought we'd start today with a
little quiz. Nothing to worry
about. Just to check how well
you've read them, how much you've
taken in..."
Ron,Harry,"Look at these questions. They're
all about him."
Harry,Ron,"What is Gilderoy Lockhart's
favorite color?'"
Ron,Harry,"What is Gilderoy Lockhart's
greatest achievement to date?'"
Harry,Ron,"When is Gilderoy Lockhart's
birthday and what would his ideal
gift be?'"
Gilderoy Lockhart,Students,"You have thirty minutes. Start --
now!"
Gilderoy Lockhart,Students,"Tut, tut. Hardly any of you
remembered my favorite color is
lilac. But Miss Hermione Granger
knew that my secret ambition is to
rid the world of evil and market
my own range of hair care potions.
Good girl."
Gilderoy Lockhart,Students,"Now... be warned! It is my job to
arm you against the foulest
creatures known to wizardkind!
You may find yourself facing your
own worst fears in this room.
Know only that no harm can befall
you whilst I am here..."
Gilderoy Lockhart,Students,"I must ask you not to scream. It
might provoke them."
Seamus,Gilderoy Lockhart,Cornish pixies?
Gilderoy Lockhart,Seamus,Freshly caught Cornish pixies.
Gilderoy Lockhart,Students,"Laugh if you will, Mr. Finnegan,
but pixies can be devilishly
tricky little blighters. Let's
see what you make of them now!"
Gilderoy Lockhart,Students,"Come on now, round them up, round
them up. They're only pixies. Peskipiski Pesternomi!"
Gilderoy Lockhart,Students,"I'll ask you three to just nip the
rest of them back into their cage."
Ron,Gilderoy Lockhart,What do we do now?
Hermione,Ron,Immobilus!
Neville,Hermione,Why is it always me?
Ron,Hermione,Can you believe him?
Hermione,Ron,"I'm sure Professor Lockhart just
wanted to give us some hands-on
experience."
Harry,Hermione,"Hands on? Hermione, he didn't
have a clue what he was doing."
Hermione,Harry,"Rubbish. Read his books. You'll
see all the amazing things he's
done."
Ron,Hermione,He says he's done.
Wood,Ron,"I spent the summer devising a
whole new Quidditch program.
We're going to train earlier,
harder, and longer!

What the... I don't believe it!"
Ron,Wood,Uh-oh. I smell trouble.
Wood,Flint,"Clear out, Flint! I booked the
pitch for Gryffindor today."
Flint,Wood,"Easy, Wood. I've got a note."
Wood,Flint,"I, Professor Severus Snape, do
hereby give the Slytherin team
permission to practice today,
owing to the need to train their
new Seeker.'

You've got a new Seeker? Who?"
Harry,Wood,Draco?
Draco,Harry,"That's right. And that's not all
that's new this year..."
Ron,Draco,"Those are Nimbus Two Thousand
Ones."
Flint,Ron,"A generous gift from Draco's
father."
Draco,Ron,"That's right, Weasley. You see,
unlike some, my father can afford
to buy the best."
Hermione,Draco,"At least no one on the Gryffindor
team had to buy their way in.
They got in on pure talent."
Draco,Hermione,"No one asked your opinion, you
filthy little Mudblood."
Wood,Draco,Save it for the match.
Ron,Draco,"You'll pay for that one, Malfoy!

Eat slugs!"
Hermione,Ron,Ron! Say something!
Colin,Harry,"Wow! Can you hold him still,
Harry?!"
Harry,Colin,"Get out of the way, Colin!"
Harry,Hermione,Let's take him to Hagrid. He'll know what to do.
Hagrid,Harry,"Got jus' the thing. Set 'im down
on that chair o'er there."
Hagrid,Harry,"Better out than in. Who was he
tryin' ter curse anyway?"
Harry,Hagrid,"Malfoy. He called Hermione, well,
I don't know exactly what it
means..."
Hermione,Hagrid,He called me a Mudblood.
Hagrid,Hermione,He didn'!
Hermione,Harry,"It means dirty blood. Mudblood's
a really foul name for someone who
was Muggle-born. Someone with
non-magic parents. Someone...
like me. It's not a term one
usually hears in civilized
conversation."
Hagrid,Harry,"Yeh see, Harry. There are some
wizards -- like Malfoy's family --
who think they're better than
everyone else 'cause they're what
people call pureblood."
Harry,Hagrid,That's horrible.
Ron,Harry,It's disgusting!
Hagrid,Ron,"An' it's codswallop ter boot.
Dirty blood. There's 'ardly a
wizard today that's not half-blood
or less. If we 'adn't married
Muggles we'd've died out long ago."
Hagrid,Hermione,"Besides, they haven't invented a spell our Hermione can't do... Don' you think on it, Hermione. Don' you think on it fer a minute."
Gilderoy Lockhart,Harry,"Harry, Harry, Harry... Can you
possibly imagine a better way to
serve detention than by helping me
answer my fan mail?"
Gilderoy Lockhart,Harry,"Fame's a fickle friend, Harry.
Celebrity is as celebrity does.
Remember that."
Voice,Harry,Come... come to me...
Harry,Voice,What?
Gilderoy Lockhart,Harry,"I was saying, six solid months at
the top of the bestseller list!
Broke all records!"
Harry,Gilderoy Lockhart,"No... not you, that... voice."
Gilderoy Lockhart,Harry,Voice?
Harry,Gilderoy Lockhart,"That... voice. Didn't you hear
it?"
